clusters,method,Calinski-Harabasz
3,sktime-TimeSeriesKMeans,162.09364
4,sktime-TimeSeriesKMeans,176.63523
5,sktime-TimeSeriesKMeans,174.7593
6,sktime-TimeSeriesKMeans,165.80613
7,sktime-TimeSeriesKMeans,155.65876
8,sktime-TimeSeriesKMeans,147.52335
3,sktime-TimeSeriesKMedoids,174.93681
4,sktime-TimeSeriesKMedoids,160.88645
5,sktime-TimeSeriesKMedoids,175.91492
6,sktime-TimeSeriesKMedoids,156.12337
7,sktime-TimeSeriesKMedoids,146.92903
8,sktime-TimeSeriesKMedoids,137.62462
3,tslearn-KernelKMeans,173.93247
4,tslearn-KernelKMeans,189.15781
5,tslearn-KernelKMeans,177.41208
6,tslearn-KernelKMeans,168.67085
7,tslearn-KernelKMeans,128.70138
8,tslearn-KernelKMeans,144.66729
3,tslearn-KShape,128.93806
4,tslearn-KShape,120.42246
5,tslearn-KShape,110.36423
6,tslearn-KShape,89.66876
7,tslearn-KShape,103.86648
8,tslearn-KShape,97.99583
3,tslearn-TimeSeriesKMeans,125.81889
4,tslearn-TimeSeriesKMeans,116.90909
5,tslearn-TimeSeriesKMeans,122.00331
6,tslearn-TimeSeriesKMeans,108.49136
7,tslearn-TimeSeriesKMeans,93.31458
8,tslearn-TimeSeriesKMeans,93.89608
