clusters,method,time
3,sktime-TimeSeriesKMeans,104.24403
4,sktime-TimeSeriesKMeans,117.68419
5,sktime-TimeSeriesKMeans,145.83173
6,sktime-TimeSeriesKMeans,219.6642
7,sktime-TimeSeriesKMeans,261.54273
8,sktime-TimeSeriesKMeans,294.47293
3,sktime-TimeSeriesKMedoids,59.25272
4,sktime-TimeSeriesKMedoids,69.02053
5,sktime-TimeSeriesKMedoids,89.28138
6,sktime-TimeSeriesKMedoids,104.44147
7,sktime-TimeSeriesKMedoids,122.72862
8,sktime-TimeSeriesKMedoids,139.08979
3,tslearn-KernelKMeans,0.01716
4,tslearn-KernelKMeans,0.01984
5,tslearn-KernelKMeans,0.02073
6,tslearn-KernelKMeans,0.01919
7,tslearn-KernelKMeans,0.01519
8,tslearn-KernelKMeans,0.01192
3,tslearn-KShape,0.90295
4,tslearn-KShape,1.6199
5,tslearn-KShape,3.07747
6,tslearn-KShape,2.41887
7,tslearn-KShape,3.62693
8,tslearn-KShape,4.16363
3,tslearn-TimeSeriesKMeans,139.39305
4,tslearn-TimeSeriesKMeans,119.0409
5,tslearn-TimeSeriesKMeans,136.82047
6,tslearn-TimeSeriesKMeans,120.23625
7,tslearn-TimeSeriesKMeans,132.81345
8,tslearn-TimeSeriesKMeans,116.50576
