clusters,method,Silhouette
3,sktime-TimeSeriesKMeans,0.37271
4,sktime-TimeSeriesKMeans,0.33854
5,sktime-TimeSeriesKMeans,0.30844
6,sktime-TimeSeriesKMeans,0.27961
7,sktime-TimeSeriesKMeans,0.25898
8,sktime-TimeSeriesKMeans,0.23474
3,sktime-TimeSeriesKMedoids,0.35408
4,sktime-TimeSeriesKMedoids,0.30498
5,sktime-TimeSeriesKMedoids,0.32892
6,sktime-TimeSeriesKMedoids,0.26745
7,sktime-TimeSeriesKMedoids,0.22279
8,sktime-TimeSeriesKMedoids,0.19232
3,tslearn-KernelKMeans,0.52788
4,tslearn-KernelKMeans,0.45001
5,tslearn-KernelKMeans,0.31886
6,tslearn-KernelKMeans,0.31102
7,tslearn-KernelKMeans,0.29084
8,tslearn-KernelKMeans,0.32537
3,tslearn-KShape,0.36995
4,tslearn-KShape,0.30783
5,tslearn-KShape,0.25008
6,tslearn-KShape,0.22903
7,tslearn-KShape,0.22415
8,tslearn-KShape,0.22147
3,tslearn-TimeSeriesKMeans,0.3498
4,tslearn-TimeSeriesKMeans,0.29292
5,tslearn-TimeSeriesKMeans,0.25285
6,tslearn-TimeSeriesKMeans,0.20964
7,tslearn-TimeSeriesKMeans,0.18445
8,tslearn-TimeSeriesKMeans,0.18938
