clusters,iteration,Davies-Bouldin
3,EMA100,1.15061
4,EMA100,1.17388
5,EMA100,1.2496
6,EMA100,1.36958
7,EMA100,1.30091
8,EMA100,1.25986
3,EMA200,0.90691
4,EMA200,0.94786
5,EMA200,1.02731
6,EMA200,1.13964
7,EMA200,1.12006
8,EMA200,1.27913
3,EMA50,1.27735
4,EMA50,1.64424
5,EMA50,1.53701
6,EMA50,1.62003
7,EMA50,1.41068
8,EMA50,1.49712
3,Price,1.89501
4,Price,2.21648
5,Price,2.18433
6,Price,2.24508
7,Price,2.20296
8,Price,2.20913
