clusters,iteration,Dunn
3,EMA100,0.08853
4,EMA100,0.07256
5,EMA100,0.06204
6,EMA100,0.05739
7,EMA100,0.05457
8,EMA100,0.04997
3,EMA200,0.06773
4,EMA200,0.06413
5,EMA200,0.07218
6,EMA200,0.06852
7,EMA200,0.06194
8,EMA200,0.07047
3,EMA50,0.07834
4,EMA50,0.06741
5,EMA50,0.06141
6,EMA50,0.05756
7,EMA50,0.05476
8,EMA50,0.06295
3,Price,0.06318
4,Price,0.0704
5,Price,0.04977
6,Price,0.04226
7,Price,0.04998
8,Price,0.04704
