clusters,iteration,Silhouette
3,EMA100,0.52788
4,EMA100,0.45001
5,EMA100,0.31886
6,EMA100,0.31102
7,EMA100,0.29084
8,EMA100,0.32537
3,EMA200,0.62567
4,EMA200,0.49096
5,EMA200,0.40358
6,EMA200,0.38109
7,EMA200,0.41263
8,EMA200,0.35892
3,EMA50,0.4684
4,EMA50,0.42344
5,EMA50,0.33483
6,EMA50,0.35671
7,EMA50,0.33635
8,EMA50,0.305
3,Price,0.4182
4,Price,0.30778
5,Price,0.32494
6,Price,0.32929
7,Price,0.2661
8,Price,0.28385
