clusters,iteration,time
3,EMA100,53.09037
4,EMA100,67.08167
5,EMA100,90.52173
6,EMA100,103.89567
7,EMA100,120.09942
8,EMA100,131.79593
3,EMA200,51.59335
4,EMA200,69.46296
5,EMA200,83.28284
6,EMA200,93.33303
7,EMA200,102.46054
8,EMA200,114.10599
3,EMA50,59.25272
4,EMA50,69.02053
5,EMA50,89.28138
6,EMA50,104.44147
7,EMA50,122.72862
8,EMA50,139.08979
3,Price,66.8356
4,Price,77.97524
5,Price,97.68993
6,Price,113.63193
7,Price,125.35004
8,Price,138.99078
