clusters,iteration,Calinski-Harabasz
3,EMA100,173.93247
4,EMA100,189.15781
5,EMA100,177.41208
6,EMA100,168.67085
7,EMA100,128.70138
8,EMA100,144.66729
3,EMA200,228.21165
4,EMA200,279.93118
5,EMA200,290.75105
6,EMA200,269.5142
7,EMA200,227.90601
8,EMA200,214.28497
3,EMA50,133.56395
4,EMA50,129.41559
5,EMA50,115.44754
6,EMA50,108.7299
7,EMA50,106.43299
8,EMA50,88.89396
3,Price,76.26866
4,Price,65.0909
5,Price,58.55129
6,Price,53.37707
7,Price,49.94001
8,Price,46.27471
