clusters,iteration,Dunn
3,EMA100,0.09319
4,EMA100,0.06375
5,EMA100,0.05729
6,EMA100,0.04363
7,EMA100,0.03525
8,EMA100,0.05196
3,EMA200,0.10047
4,EMA200,0.06721
5,EMA200,0.06637
6,EMA200,0.05314
7,EMA200,0.07739
8,EMA200,0.05821
3,EMA50,0.07042
4,EMA50,0.0616
5,EMA50,0.04267
6,EMA50,0.0468
7,EMA50,0.04025
8,EMA50,0.05946
3,Price,0.08
4,Price,0.05053
5,Price,0.06761
6,Price,0.07089
7,Price,0.04904
8,Price,0.04687
