clusters,iteration,Silhouette
3,EMA100,0.36995
4,EMA100,0.30783
5,EMA100,0.25008
6,EMA100,0.22903
7,EMA100,0.22415
8,EMA100,0.22147
3,EMA200,0.45017
4,EMA200,0.38479
5,EMA200,0.31809
6,EMA200,0.27881
7,EMA200,0.29496
8,EMA200,0.21677
3,EMA50,0.35041
4,EMA50,0.27243
5,EMA50,0.18889
6,EMA50,0.15832
7,EMA50,0.1715
8,EMA50,0.19049
3,Price,0.23913
4,Price,0.15986
5,Price,0.164
6,Price,0.10966
7,Price,0.06737
8,Price,0.06261
