clusters,iteration,Davies-Bouldin
3,EMA100,0.79784
4,EMA100,0.80154
5,EMA100,0.96442
6,EMA100,0.95091
7,EMA100,1.04065
8,EMA100,1.02114
3,EMA200,0.86446
4,EMA200,0.82575
5,EMA200,0.80086
6,EMA200,0.95845
7,EMA200,0.94252
8,EMA200,1.00086
3,EMA50,0.74502
4,EMA50,0.83846
5,EMA50,1.08418
6,EMA50,1.0989
7,EMA50,1.12195
8,EMA50,1.30351
3,Price,0.74759
4,Price,0.89229
5,Price,1.26742
6,Price,1.3033
7,Price,1.2746
8,Price,1.26938
