clusters,iteration,Dunn
3,EMA100,0.12633
4,EMA100,0.13968
5,EMA100,0.13041
6,EMA100,0.11622
7,EMA100,0.11937
8,EMA100,0.14406
3,EMA200,0.14984
4,EMA200,0.22097
5,EMA200,0.17148
6,EMA200,0.13715
7,EMA200,0.10982
8,EMA200,0.1054
3,EMA50,0.1384
4,EMA50,0.14995
5,EMA50,0.16251
6,EMA50,0.14941
7,EMA50,0.11445
8,EMA50,0.09989
3,Price,0.16363
4,Price,0.18169
5,Price,0.17265
6,Price,0.16134
7,Price,0.14728
8,Price,0.14821
