clusters,iteration,Davies-Bouldin
3,EMA100,1.15834
4,EMA100,1.03183
5,EMA100,1.03538
6,EMA100,1.11706
7,EMA100,1.3756
8,EMA100,1.16564
3,EMA200,0.86882
4,EMA200,0.90066
5,EMA200,1.11885
6,EMA200,0.9145
7,EMA200,0.93183
8,EMA200,0.99492
3,EMA50,1.40187
4,EMA50,1.46684
5,EMA50,1.39103
6,EMA50,1.2321
7,EMA50,1.375
8,EMA50,1.34468
3,Price,1.85258
4,Price,1.60945
5,Price,2.14418
6,Price,1.81599
7,Price,2.14088
8,Price,2.4939
