clusters,iteration,Silhouette
3,EMA100,0.3498
4,EMA100,0.29292
5,EMA100,0.25285
6,EMA100,0.20964
7,EMA100,0.18445
8,EMA100,0.18938
3,EMA200,0.40941
4,EMA200,0.33756
5,EMA200,0.31761
6,EMA200,0.29166
7,EMA200,0.26058
8,EMA200,0.24357
3,EMA50,0.30606
4,EMA50,0.19894
5,EMA50,0.2096
6,EMA50,0.2111
7,EMA50,0.16154
8,EMA50,0.15416
3,Price,0.18227
4,Price,0.23217
5,Price,0.16223
6,Price,0.10555
7,Price,0.07535
8,Price,0.05193
