clusters,iteration,Calinski-Harabasz
3,EMA100,128.93806
4,EMA100,120.42246
5,EMA100,110.36423
6,EMA100,89.66876
7,EMA100,103.86648
8,EMA100,97.99583
3,EMA200,211.18273
4,EMA200,203.25838
5,EMA200,166.61623
6,EMA200,139.44212
7,EMA200,143.31329
8,EMA200,105.78043
3,EMA50,86.36398
4,EMA50,67.84941
5,EMA50,62.27887
6,EMA50,54.1329
7,EMA50,60.96515
8,EMA50,67.33407
3,Price,41.65891
4,Price,34.66401
5,Price,32.98646
6,Price,30.27103
7,Price,23.42249
8,Price,22.8991
