clusters,iteration,Calinski-Harabasz
3,EMA100,125.81889
4,EMA100,116.90909
5,EMA100,122.00331
6,EMA100,108.49136
7,EMA100,93.31458
8,EMA100,93.89608
3,EMA200,197.3519
4,EMA200,193.56351
5,EMA200,192.25333
6,EMA200,175.96179
7,EMA200,165.43822
8,EMA200,150.82118
3,EMA50,89.23876
4,EMA50,61.96224
5,EMA50,66.13015
6,EMA50,67.7455
7,EMA50,72.50514
8,EMA50,68.24706
3,Price,47.36585
4,Price,49.22089
5,Price,33.60285
6,Price,38.18084
7,Price,30.11993
8,Price,29.40469
