clusters,iteration,time
3,EMA100,121.87651
4,EMA100,119.24014
5,EMA100,115.26078
6,EMA100,115.7503
7,EMA100,125.13396
8,EMA100,163.0745
3,EMA200,109.41073
4,EMA200,114.70723
5,EMA200,115.30783
6,EMA200,114.20805
7,EMA200,128.83657
8,EMA200,103.34534
3,EMA50,139.39305
4,EMA50,119.0409
5,EMA50,136.82047
6,EMA50,120.23625
7,EMA50,132.81345
8,EMA50,116.50576
3,Price,38.85954
4,Price,54.96351
5,Price,46.99137
6,Price,57.97618
7,Price,48.55776
8,Price,49.50758
