clusters,iteration,Dunn
3,EMA100,0.11267
4,EMA100,0.11071
5,EMA100,0.08258
6,EMA100,0.09314
7,EMA100,0.12241
8,EMA100,0.10785
3,EMA200,0.10396
4,EMA200,0.12574
5,EMA200,0.09814
6,EMA200,0.09236
7,EMA200,0.08627
8,EMA200,0.08741
3,EMA50,0.13138
4,EMA50,0.07885
5,EMA50,0.08172
6,EMA50,0.0825
7,EMA50,0.10998
8,EMA50,0.10622
3,Price,0.08402
4,Price,0.15762
5,Price,0.16374
6,Price,0.1404
7,Price,0.11163
8,Price,0.14098
