clusters,iteration,time
3,EMA100,0.01923
4,EMA100,0.0212
5,EMA100,0.01853
6,EMA100,0.01846
7,EMA100,0.01262
8,EMA100,0.01102
3,EMA200,0.02265
4,EMA200,0.0198
5,EMA200,0.01597
6,EMA200,0.01408
7,EMA200,0.01339
8,EMA200,0.01162
3,EMA50,0.01716
4,EMA50,0.01984
5,EMA50,0.02073
6,EMA50,0.01919
7,EMA50,0.01519
8,EMA50,0.01192
3,Price,0.01639
4,Price,0.01822
5,Price,0.01984
6,Price,0.01824
7,Price,0.01794
8,Price,0.01622
