clusters,iteration,Davies-Bouldin
3,EMA100,0.82788
4,EMA100,0.80601
5,EMA100,0.93219
6,EMA100,0.9182
7,EMA100,1.02666
8,EMA100,0.90153
3,EMA200,0.94638
4,EMA200,0.77281
5,EMA200,0.80987
6,EMA200,0.8449
7,EMA200,0.93124
8,EMA200,0.87093
3,EMA50,0.87947
4,EMA50,0.89975
5,EMA50,1.03817
6,EMA50,0.95209
7,EMA50,0.88778
8,EMA50,1.04681
3,Price,1.05873
4,Price,1.29947
5,Price,1.19353
6,Price,1.1993
7,Price,1.27453
8,Price,1.19377
