clusters,iteration,time
3,EMA100,1.8354
4,EMA100,2.02525
5,EMA100,2.47211
6,EMA100,4.44697
7,EMA100,3.8516
8,EMA100,4.1581
3,EMA200,2.15136
4,EMA200,3.33143
5,EMA200,2.69284
6,EMA200,2.8855
7,EMA200,4.0391
8,EMA200,3.85377
3,EMA50,0.90295
4,EMA50,1.6199
5,EMA50,3.07747
6,EMA50,2.41887
7,EMA50,3.62693
8,EMA50,4.16363
3,Price,0.92161
4,Price,1.40967
5,Price,1.93568
6,Price,2.11765
7,Price,2.57711
8,Price,2.55871
